meanImp,medianImp,minImp,maxImp,normHits,decision,symbol
1.52042537733189,1.72005229038445,0,3.57564019369538,0.54417254251348,Confirmed,Yp3
1.52902711216932,1.72300386905937,0,3.60109323268552,0.549149730402323,Confirmed,Act57B
1.52799433673312,1.72300386905937,0,3.42178115849297,0.542513479883866,Confirmed,trp
1.5268020346657,1.72300386905937,0,3.57451542501165,0.548112816258814,Confirmed,CG8858
1.52014388047475,1.72005229038445,0,3.3878469628014,0.535255080879303,Confirmed,Tm1
1.5108604261217,1.72005229038445,0,3.53592050729774,0.537121526337619,Confirmed,Hsp27
1.50884785082775,1.72005229038445,0,3.65478860915727,0.52903359601825,Tentative,fax
1.52409266831355,1.72005229038445,0,3.31919337061046,0.537328909166321,Confirmed,RpL23A
1.57158100089147,1.73048326707831,0,3.36525482850277,0.570095396101203,Confirmed,HisRS
1.50643513340732,1.72005229038445,0,3.38439087962641,0.535047698050601,Confirmed,ALiX
1.53284444816925,1.72005229038445,0,3.47363934738053,0.551430941518042,Confirmed,AMPdeam
1.52754192277558,1.72300386905937,0,3.51177585209902,0.546868519286603,Confirmed,CG6907
1.52259772834275,1.72300386905937,0,3.28060979229104,0.542098714226462,Confirmed,AspRS-m
1.51466608587255,1.72005229038445,0,3.60963330491238,0.541269182911655,Confirmed,Nnp-1
1.51941784975797,1.72005229038445,0,3.60356093044708,0.532144338448776,Tentative,inaC
1.51957977232088,1.72005229038445,0,3.45457214232841,0.535047698050601,Confirmed,CG11594
1.5268876208684,1.72005229038445,0,3.39256595835463,0.534632932393198,Confirmed,CG5126
1.51035332050918,1.72005229038445,0,3.43755361957039,0.535255080879303,Confirmed,koi
1.52944858232427,1.72005229038445,0,3.79998746825998,0.545624222314392,Confirmed,Sac1
1.53096078528815,1.72300386905937,0,3.69160293801533,0.545209456656989,Confirmed,Tsp96F
1.51749849948353,1.72005229038445,0,3.62975006957305,0.533803401078391,Confirmed,ps
1.52359044548166,1.72005229038445,0,3.41555038688556,0.54189133139776,Confirmed,CG17904
1.51596554444113,1.72005229038445,0,3.57824537584194,0.538573206138532,Confirmed,mRpL1
1.51922747502977,1.72005229038445,0,3.44633122451889,0.537328909166321,Confirmed,Trx-2
1.51027861900923,1.72005229038445,0,3.57565517652026,0.538573206138532,Confirmed,RhoGAP1A
1.5053988011826,1.72005229038445,0,3.25861648731375,0.533181252592285,Confirmed,rumi
1.52384732999402,1.72005229038445,0,3.50792819314652,0.539817503110742,Confirmed,CG10407
1.51578108088068,1.72005229038445,0,3.30030552314966,0.531314807133969,Tentative,Adgf-A
1.52877383094114,1.72300386905937,0,3.24523285178825,0.542306097055164,Confirmed,l(3)neo43
1.51526454188924,1.72005229038445,0,3.34729842793447,0.540439651596848,Confirmed,MCTS1
1.53598655406495,1.72300386905937,0,3.52284205145082,0.544379925342182,Confirmed,CG16986
1.52324453527826,1.72005229038445,0,3.39105539727814,0.542306097055164,Confirmed,CG12531
1.51351407786451,1.72005229038445,0,3.28198230470871,0.535255080879303,Confirmed,CG9497
1.51819500664311,1.72005229038445,0,3.59037300776688,0.547075902115305,Confirmed,Spn27A
1.51633971253894,1.72005229038445,0,3.38298454435705,0.547283284944007,Confirmed,CG4928
1.52561878562112,1.72300386905937,0,3.48272595159429,0.544794690999585,Confirmed,CT16169
1.51547009944536,1.72005229038445,0,3.37065634015924,0.538573206138532,Confirmed,l(3)07882
1.50909768220399,1.72005229038445,0,3.31753758753,0.537121526337619,Confirmed,CG8323
1.52498482998124,1.72005229038445,0,3.44280800325353,0.541061800082953,Confirmed,CG3860
1.52785470130475,1.72005229038445,0,3.67791076169951,0.542928245541269,Confirmed,U2A
1.52303697350788,1.72005229038445,0,3.2167903866096,0.535877229365408,Confirmed,prp40
1.50911003975318,1.72005229038445,0,3.51513037638033,0.532351721277478,Tentative,AnxB11
1.51215323854855,1.72005229038445,0,3.54901259008904,0.53027789299046,Tentative,Obp19c
1.52407670235707,1.72300386905937,0,3.3075867092041,0.537536291995023,Confirmed,CG9246
1.5164111364204,1.72005229038445,0,3.3593918321941,0.535462463708005,Confirmed,CG12138
1.52186705777851,1.72152807972191,0,3.24243837751586,0.537121526337619,Confirmed,Nle
1.51187283269919,1.72005229038445,0,3.38518895363777,0.541476565740357,Confirmed,GAA1
1.52053824527383,1.72005229038445,0,3.46049818335078,0.53255910410618,Confirmed,Rab4
1.52657655777984,1.72005229038445,0,3.27394571224155,0.542513479883866,Confirmed,Idgf1
1.51434939350439,1.72005229038445,0,3.58756118518532,0.535047698050601,Confirmed,epsilonTry
1.51719377424546,1.72005229038445,0,3.39256595835463,0.53027789299046,Tentative,CG14292
1.51943608589116,1.72005229038445,0,3.645091761504,0.535255080879303,Confirmed,CG11837
1.51748708048965,1.72005229038445,0,3.6218741715753,0.533181252592285,Confirmed,Cpr67B
1.50081237074607,1.72005229038445,0,3.48605195509802,0.527374533388635,Tentative,Phf5a
1.52297004753467,1.72005229038445,0,3.54226503050284,0.538987971795935,Confirmed,St3
1.51510305633735,1.72005229038445,0,3.37105625015941,0.535462463708005,Confirmed,psq
1.52399251730234,1.72300386905937,0,3.53592050729774,0.537328909166321,Confirmed,Mnn1
1.51853963428294,1.72005229038445,0,3.46962107222853,0.535877229365408,Confirmed,Asator
1.52548154038374,1.72300386905937,0,3.35245829742829,0.545002073828287,Confirmed,CG2921
1.52380127688905,1.72005229038445,0,3.65841926682295,0.546453753629199,Confirmed,CG44194
1.51586203888102,1.72300386905937,0,3.45592741429209,0.541269182911655,Confirmed,Rh3
