INFO: [2021-02-05 23:03:40] genewalk.resources - Using /Users/yizhouyu/genewalk/resources as resource folder.
WARNING: [2021-02-05 23:03:41] genewalk.gene_lists - Could not get HGNC name for ID "","HGNCID"
WARNING: [2021-02-05 23:04:22] genewalk.gene_lists - Could not get HGNC name for ID "65",NA
WARNING: [2021-02-05 23:04:23] genewalk.gene_lists - Could not get HGNC name for ID "66",NA
WARNING: [2021-02-05 23:04:23] genewalk.gene_lists - Could not get HGNC name for ID "67",23987
WARNING: [2021-02-05 23:04:24] genewalk.gene_lists - Could not get HGNC name for ID "68",NA
WARNING: [2021-02-05 23:04:24] genewalk.gene_lists - Could not get HGNC name for ID "69",6891
WARNING: [2021-02-05 23:04:25] genewalk.gene_lists - Could not get HGNC name for ID "70",7702
WARNING: [2021-02-05 23:04:26] genewalk.gene_lists - Could not get HGNC name for ID "71",NA
WARNING: [2021-02-05 23:04:26] genewalk.gene_lists - Could not get HGNC name for ID "72",NA
WARNING: [2021-02-05 23:04:27] genewalk.gene_lists - Could not get HGNC name for ID "73",NA
WARNING: [2021-02-05 23:04:28] genewalk.gene_lists - Could not get HGNC name for ID "74",38825
WARNING: [2021-02-05 23:04:28] genewalk.gene_lists - Could not get HGNC name for ID "75",40
WARNING: [2021-02-05 23:04:29] genewalk.gene_lists - Could not get HGNC name for ID "76",7587
WARNING: [2021-02-05 23:04:29] genewalk.gene_lists - Could not get HGNC name for ID "77",7585
WARNING: [2021-02-05 23:04:30] genewalk.gene_lists - Could not get HGNC name for ID "78",29823
WARNING: [2021-02-05 23:04:31] genewalk.gene_lists - Could not get HGNC name for ID "79",7582
WARNING: [2021-02-05 23:04:31] genewalk.gene_lists - Could not get HGNC name for ID "80",7584
WARNING: [2021-02-05 23:04:32] genewalk.gene_lists - Could not get HGNC name for ID "81",2063
WARNING: [2021-02-05 23:04:33] genewalk.gene_lists - Could not get HGNC name for ID "82",16889
WARNING: [2021-02-05 23:04:33] genewalk.gene_lists - Could not get HGNC name for ID "83",NA
WARNING: [2021-02-05 23:04:34] genewalk.gene_lists - Could not get HGNC name for ID "84",9901
WARNING: [2021-02-05 23:04:35] genewalk.gene_lists - Could not get HGNC name for ID "85",14483
WARNING: [2021-02-05 23:04:35] genewalk.gene_lists - Could not get HGNC name for ID "86",17715
WARNING: [2021-02-05 23:04:36] genewalk.gene_lists - Could not get HGNC name for ID "87",NA
WARNING: [2021-02-05 23:04:36] genewalk.gene_lists - Could not get HGNC name for ID "88",NA
WARNING: [2021-02-05 23:04:37] genewalk.gene_lists - Could not get HGNC name for ID "89",NA
WARNING: [2021-02-05 23:04:38] genewalk.gene_lists - Could not get HGNC name for ID "90",12473
WARNING: [2021-02-05 23:04:38] genewalk.gene_lists - Could not get HGNC name for ID "91",7461
WARNING: [2021-02-05 23:04:39] genewalk.gene_lists - Could not get HGNC name for ID "92",2672
WARNING: [2021-02-05 23:04:40] genewalk.gene_lists - Could not get HGNC name for ID "93",30863
WARNING: [2021-02-05 23:04:40] genewalk.gene_lists - Could not get HGNC name for ID "94",1692
WARNING: [2021-02-05 23:04:41] genewalk.gene_lists - Could not get HGNC name for ID "95",27607
WARNING: [2021-02-05 23:04:41] genewalk.gene_lists - Could not get HGNC name for ID "96",1856
WARNING: [2021-02-05 23:04:42] genewalk.gene_lists - Could not get HGNC name for ID "97",10340
WARNING: [2021-02-05 23:04:43] genewalk.gene_lists - Could not get HGNC name for ID "98",NA
WARNING: [2021-02-05 23:04:43] genewalk.gene_lists - Could not get HGNC name for ID "99",11254
WARNING: [2021-02-05 23:04:44] genewalk.gene_lists - Could not get HGNC name for ID "100",20372
WARNING: [2021-02-05 23:04:45] genewalk.gene_lists - Could not get HGNC name for ID "101",28528
WARNING: [2021-02-05 23:04:45] genewalk.gene_lists - Could not get HGNC name for ID "102",12546
WARNING: [2021-02-05 23:04:46] genewalk.gene_lists - Could not get HGNC name for ID "103",8965
WARNING: [2021-02-05 23:04:47] genewalk.gene_lists - Could not get HGNC name for ID "104",NA
WARNING: [2021-02-05 23:04:47] genewalk.gene_lists - Could not get HGNC name for ID "105",257
WARNING: [2021-02-05 23:04:48] genewalk.gene_lists - Could not get HGNC name for ID "106",10348
WARNING: [2021-02-05 23:04:49] genewalk.gene_lists - Could not get HGNC name for ID "107",4892
WARNING: [2021-02-05 23:04:49] genewalk.gene_lists - Could not get HGNC name for ID "108",24193
WARNING: [2021-02-05 23:04:50] genewalk.gene_lists - Could not get HGNC name for ID "109",15937
WARNING: [2021-02-05 23:04:50] genewalk.gene_lists - Could not get HGNC name for ID "110",4642
WARNING: [2021-02-05 23:04:51] genewalk.gene_lists - Could not get HGNC name for ID "111",26930
WARNING: [2021-02-05 23:04:52] genewalk.gene_lists - Could not get HGNC name for ID "112",33437
WARNING: [2021-02-05 23:04:52] genewalk.gene_lists - Could not get HGNC name for ID "113",9839
WARNING: [2021-02-05 23:04:53] genewalk.gene_lists - Could not get HGNC name for ID "114",24662
